deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Carlos Gomes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Henrique Gaguim,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Manato,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,6        ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Marun,1            ,0            ,1            ,5,5,5,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Melles,1            ,0            ,5,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,5,0            ,0            ,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Sampaio,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,5,5,5,5,5,5,1            ,0            ,5,5,5,5,5,5
Carlos Zarattini,3      ,3      ,3      ,5,3      ,3      ,5,3      ,3      ,0            ,3      ,5,0            ,5,1            ,1            ,3      ,1            ,5,5,3      ,5,5,3      ,5,0            ,3      ,3      ,5,5,5,5,5
Carmen Zanotto,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
Celso Jacob,5,5,5,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Celso Maldaner,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Celso Pansera,5,5,1            ,5,0            ,0            ,0            ,5,0            ,1            ,5,0            ,1            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Celso Russomanno,5,0            ,1            ,0            ,5,5,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Chico Alencar,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
Chico D Angelo,3      ,3      ,3      ,5,3      ,3      ,5,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,1            ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Chico Lopes,3      ,5,3      ,3      ,3      ,3      ,5,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,5,3      ,5,3      ,5,1            ,0            ,1            ,0            ,3      ,3      ,3      ,0            ,0            ,0            ,0            
Christiane de Souza Yared,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Clarissa Garotinho,5,5,0            ,1            ,5,5,5,0            ,5,0            ,1            ,5,0            ,1            ,5,1            ,0            ,1            ,1            ,0            ,1            ,5,1            ,0            ,5,0            ,5,0            ,1            ,0            ,5,5,5
Claudio Cajado,1            ,0            ,1            ,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cleber Verde,1            ,0            ,5,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,5,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Conceição Sampaio,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
